Requirement already satisfied: absl-py==2.2.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 1)) (2.2.2)
Requirement already satisfied: Box2D==2.3.10 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 2)) (2.3.10)
Requirement already satisfied: cloudpickle==3.1.1 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 3)) (3.1.1)
Requirement already satisfied: filelock==3.18.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 4)) (3.18.0)
Requirement already satisfied: fsspec==2025.3.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 5)) (2025.3.2)
Requirement already satisfied: grpcio==1.71.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 6)) (1.71.0)
Requirement already satisfied: gym==0.26.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 7)) (0.26.2)
Requirement already satisfied: gym-notices==0.0.8 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 8)) (0.0.8)
Requirement already satisfied: Jinja2==3.1.6 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 9)) (3.1.6)
Requirement already satisfied: Markdown==3.8 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 10)) (3.8)
Requirement already satisfied: MarkupSafe==3.0.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 11)) (3.0.2)
Requirement already satisfied: mpmath==1.3.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 12)) (1.3.0)
Requirement already satisfied: networkx==3.4.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 13)) (3.4.2)
Requirement already satisfied: numpy==1.23.5 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 14)) (1.23.5)
Requirement already satisfied: packaging==24.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 15)) (24.2)
Requirement already satisfied: protobuf==6.30.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 16)) (6.30.2)
Requirement already satisfied: pygame==2.6.1 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 17)) (2.6.1)
Requirement already satisfied: six==1.17.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 18)) (1.17.0)
Requirement already satisfied: sympy==1.13.1 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 19)) (1.13.1)
Requirement already satisfied: tensorboard==2.19.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 20)) (2.19.0)
Requirement already satisfied: tensorboard-data-server==0.7.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 21)) (0.7.2)
Requirement already satisfied: torch==2.6.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 22)) (2.6.0)
Requirement already satisfied: typing_extensions==4.13.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 23)) (4.13.2)
Requirement already satisfied: Werkzeug==3.1.3 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 24)) (3.1.3)
Requirement already satisfied: setuptools>=41.0.0 in ./venv/lib/python3.10/site-packages (from tensorboard==2.19.0->-r requirements.txt (line 20)) (65.5.0)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.4.5.8 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.5.8)
Requirement already satisfied: nvidia-cufft-cu12==11.2.1.3 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (11.2.1.3)
Requirement already satisfied: nvidia-curand-cu12==10.3.5.147 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (10.3.5.147)
Requirement already satisfied: nvidia-cusolver-cu12==11.6.1.9 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (11.6.1.9)
Requirement already satisfied: nvidia-cusparse-cu12==12.3.1.170 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.3.1.170)
Requirement already satisfied: nvidia-cusparselt-cu12==0.6.2 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (0.6.2)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-nvjitlink-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: triton==3.2.0 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (3.2.0)
##### total number of network params = 69124
log directory = /home/sbpena/DRL_Assignment/logs
target network updated.
episode: 0, env_step_num = 77, score = -84.58636106005734
episode: 1, env_step_num = 201, score = -172.04759824232798
episode: 2, env_step_num = 284, score = -119.51294723273841
episode: 3, env_step_num = 389, score = -518.1798424250753
episode: 4, env_step_num = 460, score = -124.62383940675356
episode: 5, env_step_num = 522, score = -96.59421973293911
episode: 6, env_step_num = 616, score = -346.5028498219185
episode: 7, env_step_num = 719, score = -78.87898127035531
episode: 8, env_step_num = 812, score = -335.10363891559865
episode: 9, env_step_num = 899, score = -423.6442811889478
episode: 10, env_step_num = 984, score = -359.27294478488045
episode: 11, env_step_num = 1104, score = -213.37304459476525
episode: 12, env_step_num = 1173, score = -80.25167645888106
episode: 13, env_step_num = 1341, score = -232.11761972806804
episode: 14, env_step_num = 1428, score = -149.32444638238672
episode: 15, env_step_num = 1541, score = -323.48642889394233
episode: 16, env_step_num = 1611, score = -110.34200278240145
episode: 17, env_step_num = 1693, score = -96.18057056883096
episode: 18, env_step_num = 1754, score = -90.68137865529943
episode: 19, env_step_num = 1835, score = -224.62487706078042
episode: 20, env_step_num = 1901, score = -92.66420021326932
episode: 21, env_step_num = 1997, score = -176.29330779904885
episode: 22, env_step_num = 2069, score = -120.69151882644522
episode: 23, env_step_num = 2162, score = -426.7793370680937
episode: 24, env_step_num = 2278, score = -107.34990927133597
episode: 25, env_step_num = 2353, score = -120.57307608477586
episode: 26, env_step_num = 2448, score = -398.9869261780176
episode: 27, env_step_num = 2518, score = -101.6789717739224
episode: 28, env_step_num = 2591, score = -136.64642798100294
episode: 29, env_step_num = 2653, score = -123.81776701439172
episode: 30, env_step_num = 2731, score = -357.35194604255423
episode: 31, env_step_num = 2828, score = -100.50432342935858
episode: 32, env_step_num = 2956, score = -178.1891181678231
episode: 33, env_step_num = 3057, score = -359.2883142180931
episode: 34, env_step_num = 3171, score = -141.44142048178355
episode: 35, env_step_num = 3265, score = -132.4322964623641
episode: 36, env_step_num = 3341, score = -115.29241108227009
episode: 37, env_step_num = 3452, score = -141.12003849351106
episode: 38, env_step_num = 3553, score = -293.34683543624794
episode: 39, env_step_num = 3640, score = -97.56839795917274
episode: 40, env_step_num = 3711, score = -103.48084514415358
episode: 41, env_step_num = 3804, score = 35.679929148778456
episode: 42, env_step_num = 3878, score = -218.34124024017925
episode: 43, env_step_num = 3964, score = -52.385257242964556
episode: 44, env_step_num = 4064, score = -129.661845703663
episode: 45, env_step_num = 4180, score = -326.6797607166864
episode: 46, env_step_num = 4242, score = -126.402473789862
episode: 47, env_step_num = 4348, score = -90.06754299293283
episode: 48, env_step_num = 4430, score = -82.51001639556179
episode: 49, env_step_num = 4529, score = -135.1534347191208
episode: 50, env_step_num = 4651, score = -148.60214647008576
episode: 51, env_step_num = 4714, score = -78.3611253778425
episode: 52, env_step_num = 4787, score = -84.99061132503837
episode: 53, env_step_num = 4877, score = -96.55053210569002
episode: 54, env_step_num = 5013, score = -338.03778351699805
episode: 55, env_step_num = 5102, score = -315.17227039224076
episode: 56, env_step_num = 5216, score = -80.37386449868401
episode: 57, env_step_num = 5298, score = -299.49288083167016
episode: 58, env_step_num = 5378, score = -192.4602003006992
episode: 59, env_step_num = 5474, score = -294.37175693327083
episode: 60, env_step_num = 5549, score = -250.67338364731938
episode: 61, env_step_num = 5667, score = -264.7260929979004
episode: 62, env_step_num = 5738, score = -65.77568899046764
episode: 63, env_step_num = 5807, score = -59.43782078301504
episode: 64, env_step_num = 5899, score = -430.5334975055528
episode: 65, env_step_num = 6026, score = -200.26177306744336
episode: 66, env_step_num = 6131, score = -360.74279449896665
episode: 67, env_step_num = 6195, score = -203.06847598620993
episode: 68, env_step_num = 6282, score = -107.28144945785807
episode: 69, env_step_num = 6351, score = -34.66246697180625
episode: 70, env_step_num = 6415, score = -74.9816840981397
episode: 71, env_step_num = 6519, score = -360.5951236034245
episode: 72, env_step_num = 6611, score = -127.6942018803465
episode: 73, env_step_num = 6722, score = -262.8154455926818
episode: 74, env_step_num = 6807, score = -257.40508896722986
episode: 75, env_step_num = 6868, score = -67.4163415594239
episode: 76, env_step_num = 6961, score = -422.10909706539695
episode: 77, env_step_num = 7090, score = -19.645339741357787
episode: 78, env_step_num = 7164, score = -285.9499289062346
episode: 79, env_step_num = 7255, score = -97.1416130196341
episode: 80, env_step_num = 7332, score = -308.40857348774625
episode: 81, env_step_num = 7435, score = -294.6198932768251
episode: 82, env_step_num = 7547, score = -258.3552273300438
episode: 83, env_step_num = 7638, score = -154.32168001341398
episode: 84, env_step_num = 7715, score = -97.99051125778631
episode: 85, env_step_num = 7811, score = -415.39447058020136
episode: 86, env_step_num = 7968, score = -416.6799894553784
episode: 87, env_step_num = 8081, score = -123.72861088881822
episode: 88, env_step_num = 8168, score = -130.9790650538839
episode: 89, env_step_num = 8257, score = -172.91696365485717
episode: 90, env_step_num = 8337, score = -163.62645423625605
episode: 91, env_step_num = 8435, score = -171.84830929185262
episode: 92, env_step_num = 8517, score = -281.0472099589658
episode: 93, env_step_num = 8587, score = -99.43223235014327
episode: 94, env_step_num = 8688, score = -112.78598206839291
episode: 95, env_step_num = 8749, score = -73.22218956532393
episode: 96, env_step_num = 8849, score = -121.49485168492693
episode: 97, env_step_num = 8950, score = -177.48732110046785
episode: 98, env_step_num = 9044, score = -362.00256427860364
episode: 99, env_step_num = 9127, score = -156.34833915863288
episode: 100, env_step_num = 9190, score = -77.666179289355
episode: 101, env_step_num = 9284, score = -493.61868579383946
episode: 102, env_step_num = 9394, score = -126.01833624975283
episode: 103, env_step_num = 9497, score = -118.43909302223264
episode: 104, env_step_num = 9604, score = -90.99900032799592
