Requirement already satisfied: absl-py==2.2.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 1)) (2.2.2)
Requirement already satisfied: Box2D==2.3.10 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 2)) (2.3.10)
Requirement already satisfied: cloudpickle==3.1.1 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 3)) (3.1.1)
Requirement already satisfied: filelock==3.18.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 4)) (3.18.0)
Requirement already satisfied: fsspec==2025.3.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 5)) (2025.3.2)
Requirement already satisfied: grpcio==1.71.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 6)) (1.71.0)
Requirement already satisfied: gym==0.26.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 7)) (0.26.2)
Requirement already satisfied: gym-notices==0.0.8 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 8)) (0.0.8)
Requirement already satisfied: Jinja2==3.1.6 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 9)) (3.1.6)
Requirement already satisfied: Markdown==3.8 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 10)) (3.8)
Requirement already satisfied: MarkupSafe==3.0.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 11)) (3.0.2)
Requirement already satisfied: mpmath==1.3.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 12)) (1.3.0)
Requirement already satisfied: networkx==3.4.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 13)) (3.4.2)
Requirement already satisfied: numpy==1.23.5 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 14)) (1.23.5)
Requirement already satisfied: packaging==24.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 15)) (24.2)
Requirement already satisfied: protobuf==6.30.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 16)) (6.30.2)
Requirement already satisfied: pygame==2.6.1 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 17)) (2.6.1)
Requirement already satisfied: six==1.17.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 18)) (1.17.0)
Requirement already satisfied: sympy==1.13.1 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 19)) (1.13.1)
Requirement already satisfied: tensorboard==2.19.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 20)) (2.19.0)
Requirement already satisfied: tensorboard-data-server==0.7.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 21)) (0.7.2)
Requirement already satisfied: torch==2.6.0 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 22)) (2.6.0)
Requirement already satisfied: typing_extensions==4.13.2 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 23)) (4.13.2)
Requirement already satisfied: Werkzeug==3.1.3 in ./venv/lib/python3.10/site-packages (from -r requirements.txt (line 24)) (3.1.3)
Requirement already satisfied: setuptools>=41.0.0 in ./venv/lib/python3.10/site-packages (from tensorboard==2.19.0->-r requirements.txt (line 20)) (65.5.0)
Requirement already satisfied: nvidia-cuda-nvrtc-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-cuda-runtime-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-cuda-cupti-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-cudnn-cu12==9.1.0.70 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (9.1.0.70)
Requirement already satisfied: nvidia-cublas-cu12==12.4.5.8 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.5.8)
Requirement already satisfied: nvidia-cufft-cu12==11.2.1.3 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (11.2.1.3)
Requirement already satisfied: nvidia-curand-cu12==10.3.5.147 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (10.3.5.147)
Requirement already satisfied: nvidia-cusolver-cu12==11.6.1.9 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (11.6.1.9)
Requirement already satisfied: nvidia-cusparse-cu12==12.3.1.170 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.3.1.170)
Requirement already satisfied: nvidia-cusparselt-cu12==0.6.2 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (0.6.2)
Requirement already satisfied: nvidia-nccl-cu12==2.21.5 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (2.21.5)
Requirement already satisfied: nvidia-nvtx-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: nvidia-nvjitlink-cu12==12.4.127 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (12.4.127)
Requirement already satisfied: triton==3.2.0 in ./venv/lib/python3.10/site-packages (from torch==2.6.0->-r requirements.txt (line 22)) (3.2.0)
cuda:0
##### total number of network params = 69124
log directory = /home/sbpena/DRL_Assignment/logs
target network updated.
episode: 0, env_step_num = 134, score = -95.66497230825033
episode: 1, env_step_num = 246, score = -91.03809329468655
episode: 2, env_step_num = 369, score = -430.2310107770441
episode: 3, env_step_num = 442, score = -192.2021239091548
episode: 4, env_step_num = 527, score = -146.0970841889323
episode: 5, env_step_num = 640, score = -219.1510521028669
episode: 6, env_step_num = 703, score = -93.94196038385073
episode: 7, env_step_num = 793, score = -247.51305952762183
episode: 8, env_step_num = 870, score = -146.14584831015316
episode: 9, env_step_num = 948, score = -85.96891863729968
episode: 10, env_step_num = 1014, score = -112.39379090124642
episode: 11, env_step_num = 1078, score = -89.26007270234493
episode: 12, env_step_num = 1154, score = -362.331091694028
episode: 13, env_step_num = 1215, score = -46.463175066114715
episode: 14, env_step_num = 1312, score = -423.8204092678986
episode: 15, env_step_num = 1458, score = -331.70385490019873
episode: 16, env_step_num = 1547, score = -389.2774511953287
episode: 17, env_step_num = 1667, score = -133.41980683809268
episode: 18, env_step_num = 1754, score = -223.08388765849338
episode: 19, env_step_num = 1837, score = -175.17991570742413
episode: 20, env_step_num = 1921, score = -133.23563426322434
episode: 21, env_step_num = 1983, score = -111.81429186826261
episode: 22, env_step_num = 2070, score = -126.88075407535533
episode: 23, env_step_num = 2145, score = -67.5428476293828
episode: 24, env_step_num = 2233, score = -138.03391493498683
episode: 25, env_step_num = 2353, score = -394.86724805329584
episode: 26, env_step_num = 2458, score = -343.40126854568075
episode: 27, env_step_num = 2537, score = -158.13616249681272
episode: 28, env_step_num = 2631, score = 4.731663686727742
episode: 29, env_step_num = 2756, score = -409.6713286834207
episode: 30, env_step_num = 2815, score = -268.94716832762225
episode: 31, env_step_num = 2898, score = -145.3866525833565
episode: 32, env_step_num = 2993, score = -192.617144649532
episode: 33, env_step_num = 3085, score = -130.98642478336808
episode: 34, env_step_num = 3173, score = 24.708475312597216
episode: 35, env_step_num = 3271, score = -354.01507628744173
episode: 36, env_step_num = 3367, score = -315.6636299321526
episode: 37, env_step_num = 3429, score = -143.32174671829694
episode: 38, env_step_num = 3518, score = -242.16623544950187
episode: 39, env_step_num = 3618, score = -79.0437044473355
episode: 40, env_step_num = 3767, score = -197.6118915422585
episode: 41, env_step_num = 3835, score = -98.51806770135704
episode: 42, env_step_num = 3938, score = -195.62135663796352
episode: 43, env_step_num = 4025, score = -338.2471205891867
episode: 44, env_step_num = 4115, score = -86.52786229854831
episode: 45, env_step_num = 4233, score = 9.334866646153273
episode: 46, env_step_num = 4321, score = 60.540062800166965
episode: 47, env_step_num = 4408, score = -105.09919359941657
episode: 48, env_step_num = 4487, score = -225.09331746216736
episode: 49, env_step_num = 4570, score = -108.59751595950456
episode: 50, env_step_num = 4660, score = -274.995556856925
episode: 51, env_step_num = 4786, score = -370.0226058538191
episode: 52, env_step_num = 4851, score = -66.84052924916139
episode: 53, env_step_num = 4921, score = -109.76179072914788
episode: 54, env_step_num = 5004, score = -169.20597426569435
episode: 55, env_step_num = 5100, score = -98.30003020185774
episode: 56, env_step_num = 5215, score = -244.23313986221166
episode: 57, env_step_num = 5356, score = -190.28137611352358
episode: 58, env_step_num = 5420, score = -132.1283068627111
episode: 59, env_step_num = 5492, score = -77.53997978030368
episode: 60, env_step_num = 5576, score = -136.68206303205255
episode: 61, env_step_num = 5633, score = -156.85207165230798
episode: 62, env_step_num = 5756, score = -148.87571124598395
episode: 63, env_step_num = 5883, score = -214.19944521571395
episode: 64, env_step_num = 5982, score = -199.36090342368112
episode: 65, env_step_num = 6091, score = -269.58699322758605
episode: 66, env_step_num = 6206, score = -97.51512462283507
episode: 67, env_step_num = 6315, score = -156.21232844870144
episode: 68, env_step_num = 6465, score = -317.1484265368435
episode: 69, env_step_num = 6579, score = -463.29649843848824
episode: 70, env_step_num = 6689, score = -85.99020410283524
episode: 71, env_step_num = 6781, score = -73.89794817090825
episode: 72, env_step_num = 6899, score = -281.88866025698417
episode: 73, env_step_num = 7017, score = -316.20001741066847
episode: 74, env_step_num = 7120, score = -256.11655506371005
episode: 75, env_step_num = 7221, score = -341.4679487544729
episode: 76, env_step_num = 7293, score = -264.9215224053279
episode: 77, env_step_num = 7357, score = -201.36568649548488
episode: 78, env_step_num = 7468, score = -317.3536566520186
episode: 79, env_step_num = 7529, score = -282.29425731719135
episode: 80, env_step_num = 7623, score = -331.235093810823
episode: 81, env_step_num = 7714, score = -349.0724494494651
episode: 82, env_step_num = 7847, score = -540.2373442590758
episode: 83, env_step_num = 7928, score = -259.6291780481587
episode: 84, env_step_num = 8006, score = -98.91303842633043
episode: 85, env_step_num = 8090, score = -337.5738779012295
episode: 86, env_step_num = 8189, score = -15.44857332156488
episode: 87, env_step_num = 8297, score = -300.5960496187135
episode: 88, env_step_num = 8389, score = -74.22718621967147
episode: 89, env_step_num = 8450, score = -88.215244091149
episode: 90, env_step_num = 8522, score = -437.7138291650018
episode: 91, env_step_num = 8642, score = -442.06709190588623
episode: 92, env_step_num = 8748, score = -104.743650802137
episode: 93, env_step_num = 8828, score = -118.63443532485412
episode: 94, env_step_num = 8926, score = -134.03444159975135
episode: 95, env_step_num = 9011, score = -370.44469824611514
episode: 96, env_step_num = 9095, score = -218.65438962745128
episode: 97, env_step_num = 9164, score = -69.36541562092222
episode: 98, env_step_num = 9307, score = -129.45394985101194
episode: 99, env_step_num = 9396, score = 29.2489335551885
episode: 100, env_step_num = 9468, score = -94.11803363949758
episode: 101, env_step_num = 9557, score = -72.06160104540834
episode: 102, env_step_num = 9669, score = -318.92068421651015
episode: 103, env_step_num = 9741, score = -137.51334805118444
episode: 104, env_step_num = 9858, score = -217.82297441901488
